Game,Team 1,Team 2,Score 1,Score 2,MoneyLine1,MoneyLine 2,Vigorish Percentage 1,Vigorish Percentage 2,True Percentage 1,True Percentage 2,,Round
"No. 1 Houston 63, No. 16 North Kentucky 52",Houston,North Kentucky,63,52,-5000,1400,98.03921569,6.666666667,93.6329588,6.367041199,,1
"No. 9 Auburn 83, No. 8 Iowa 75",Auburn,Iowa,83,75,-120,100,54.54545455,50,52.17391304,47.82608696,,1
"No. 5 Miami (FL) 63, No. 12 Drake (56)",Miami,Drake,63,56,-130,120,56.52173913,45.45454545,55.42635659,44.57364341,,1
"No. 4 Indiana 71, No. 13 Kent St. 60",Indiana,Kent State,71,60,-179,160,64.15770609,38.46153846,62.52015046,37.47984954,,1
"No. 11 Pitt 59, No. 6 Iowa St. 41",Pitt,Iowa State,59,41,165,-196,37.73584906,66.21621622,36.30120186,63.69879814,,1
"No. 3 Xavier 72, No. 14 Kennesaw St. 67",Xavier,Kennesaw State,72,67,-769,550,88.49252014,15.38461538,85.18960375,14.81039625,,1
"No. 10 Penn St. 76, No. 7 Texas A&M 59",Penn State,Texas A&M,76,59,125,-145,44.44444444,59.18367347,42.88840263,57.11159737,,1
"No. 2 Texas 81, No. 15 Colgate 61",Texas,Colgate,81,61,-1111,700,91.74236168,12.5,88.00871373,11.99128627,,1
"No. 1 Kansas 96, No. 16 Howard 68",Kansas,Howard,96,68,-10000,2000,99.00990099,4.761904762,95.41117674,4.588823262,,1
"No. 8 Arkansas 73, No. 9 Illinois 63",Arkansas,Illinois,73,63,115,-135,46.51162791,57.44680851,44.74059971,55.25940029,,1
"No. 5 St. Mary’s 63, No. 12 VCU 51",St. Mary's,VCU,63,51,-182,162,64.53900709,38.16793893,62.83801592,37.16198408,,1
"No. 4 UConn 87, No. 13 Iona 63",UConn,Iona,87,63,-476,360,82.63888889,21.73913043,79.17269309,20.82730691,,1
"No. 6 TCU 72, No. 11 Arizona St. 70",TCU,Arizona State,72,70,-189,176,65.39792388,36.23188406,64.34915622,35.65084378,,1
"No. 3 Gonzaga 82, No. 14 Grand Canyon 70",Gonzaga,Grand Canyon,82,70,-1667,1050,94.34069044,8.695652174,91.56059701,8.439402985,,1
"No. 7 Northwestern 75, No. 10 Boise St. 67",Northwestern,Boise State,75,67,-125,105,55.55555556,48.7804878,53.24675325,46.75324675,,1
"No. 2 UCLA 86, No. 15 UNC Asheville 53",UCLA,UNC Asheville,86,53,-2000,1350,95.23809524,6.896551724,93.24758842,6.752411576,,1
"No. 16 FDU 63, No. 1 Purdue 58",FDU,Purdue,63,58,2000,-10000,4.761904762,99.00990099,4.588823262,95.41117674,,1
"No. 9 FAU 66, No. 8 Memphis 65",FAU,Memphis,66,65,110,-130,47.61904762,56.52173913,45.72564612,54.27435388,,1
"No. 5 Duke 74, No. 12 Oral Roberts 51",Duke,Oral Roberts,74,51,-250,225,71.42857143,30.76923077,69.89247312,30.10752688,,1
"No. 4 Tennessee 58, No. 13 Louisiana 55",Tennesse,Louisiana,58,55,-588,430,85.46511628,18.86792453,81.91567659,18.08432341,,1
"No. 6 Kentucky 61, No. 11 Providence 53",Kentucky,Providence,61,53,-189,158,65.39792388,38.75968992,62.78746362,37.21253638,,1
"No. 3 Kansas St. 77, No. 14 Montana St. 65",Kansas State,Montana State,77,65,-333,310,76.90531178,24.3902439,75.92170383,24.07829617,,1
"No. 7 Michigan St. 72, No. 10 USC 62",Michigan State,USC,72,62,-130,110,56.52173913,47.61904762,54.27435388,45.72564612,,1
"No. 2 Marquette 78, No. 15 Vermont 61",Marquette,Vermont,78,61,-588,450,85.46511628,18.18181818,82.45792963,17.54207037,,1
"No. 1 Alabama 96, No. 16 Texas A&M-CC 75",Alabama,Texas A&M-CC,96,75,-10000,2200,99.00990099,4.347826087,95.79341941,4.206580591,,1
"No. 8 Maryland 67, No. 9 West Virginia 65",Maryland,West Virginia,67,65,118,-141,45.87155963,58.50622407,43.94762756,56.05237244,,1
"No. 5 San Diego St. 63, No. 12 Col of Charleston 57",San Diego State,College of Charleston,63,57,-227,210,69.41896024,32.25806452,68.27398855,31.72601145,,1
"No. 13 Furman 68, No. 4 Virginia 67",Furman,Virginia,68,67,205,-250,32.78688525,71.42857143,31.46067416,68.53932584,,1
"No. 6 Creighton 72, No. 11 NC State 63",Creighton,NC State,72,63,-227,195,69.41896024,33.89830508,67.19008679,32.80991321,,1
"No. 3 Baylor 74, No. 14 UCSB 56",Baylor,UCSB,74,56,-588,440,85.46511628,18.51851852,82.1909298,17.8090702,,1
"No. 7 Missouri 76, No. 10 Utah St. 65",Missouri,Utah State,76,65,110,-130,47.61904762,56.52173913,45.72564612,54.27435388,,1
"No. 15 Princeton 59, No. 2 Arizona 55",Princeton,Arizona,59,55,700,-1100,12.5,91.66666667,12,88,,1
"No. 1 Houston 81, No. 9 Auburn 64",Houston,Auburn,81,64,-250,205,71.42857143,32.78688525,68.53932584,31.46067416,,2
"No. 5 Miami (FL) 85, No. 4 Indiana 69",Miami,Indiana,85,69,110,-130,47.61904762,56.52173913,45.72564612,54.27435388,,2
"No. 3 Xavier 84, No. 11 Pittsburgh 73",Xavier,Pitsburgh,84,73,-208,185,67.53246753,35.0877193,65.80817052,34.19182948,,2
"No. 2 Texas 71, No. 10 Penn St. 66",Texas,Penn State,71,66,-233,190,69.96996997,34.48275862,66.98721126,33.01278874,,2
"No. 8 Arkansas 72, No. 1 Kansas 71",Arkansas,Kansas,72,71,140,-164,41.66666667,62.12121212,40.1459854,59.8540146,,2
"No. 4 UConn 70, No. 5 Saint Mary’s 55",UConn,Saint Mary's,70,55,-189,158,65.39792388,38.75968992,62.78746362,37.21253638,,2
"No. 3 Gonzaga 84, No. 6 TCU 81",Gonzaga,TCU,84,81,-200,172,66.66666667,36.76470588,64.4549763,35.5450237,,2
"No. 2 UCLA 68, No. 7 Northwestern 63",UCLA,Northwestern,68,63,-345,270,77.52808989,27.02702703,74.15045019,25.84954981,,2
"No. 9 FAU 78, No. 16 FDU 70",FAU,FDU,78,70,-1667,860,94.34069044,10.41666667,90.05638653,9.943613465,,2
"No. 4 Tennessee 65, No. 5 Duke 52",Tennesse,Duke,65,52,135,-161,42.55319149,61.68582375,40.82271057,59.17728943,,2
"No. 3 Kansas St. 75, No. 6 Kentucky 69",Kansas State,Kentucky,75,69,135,-154,42.55319149,60.62992126,41.24046111,58.75953889,,2
"No. 7 Michigan St. 69, No. 2 Marquette 60",Michigan State,Marquette,69,60,140,-145,41.66666667,59.18367347,41.3153457,58.6846543,,2
"No. 1 Alabama 73, No. 8 Maryland 51",Alabama,Maryland,73,51,-435,340,81.30841121,22.72727273,78.15434871,21.84565129,,2
"No. 5 San Diego St. 75, No. 13 Furman 52",San Diego State,Furman,75,52,-208,196,67.53246753,33.78378378,66.65511866,33.34488134,,2
"No. 6 Creighton 85, No. 3 Baylor 76",Creighton,Baylor,85,76,-105,105,51.2195122,48.7804878,51.2195122,48.7804878,,2
"No. 15 Princeton 78, No. 7 Missouri 63",Princeton,Missouri,78,63,200,-275,33.33333333,73.33333333,31.25,68.75,,2
"No. 5 Miami (FL) 89, No. 1 Houston 75",Miami,Houston,89,75,280,-323,26.31578947,76.35933806,25.63015027,74.36984973,,3
"No. 2 Texas 83, No. 3 Xavier 71",Texas,Xavier,83,71,-196,170,66.21621622,37.03703704,64.1299079,35.8700921,,3
"No. 4 UConn 88, No. 6 Arkansas 65",UConn,Arkansas,88,65,-196,162,66.21621622,38.16793893,63.43512205,36.56487795,,3
"No. 3 Gonzaga 79, No. 2 UCLA 76",Gonzaga,UCLA,79,76,-110,-100,52.38095238,50,51.1627907,48.8372093,,3
"No. 9 FAU 62, No. 4 Tennessee 55",FAU,Tennesse,62,55,180,-222,35.71428571,68.94409938,34.12462908,65.87537092,,3
"No. 3 Kansas St. 98, No. 7 Michigan St. 93",Kansas State,Michigan State,98,93,110,-100,47.61904762,50,48.7804878,51.2195122,,3
"No. 5 San Diego St. 71, No. 1 Alabama 64",San Diego State,Alabama,71,64,250,-323,28.57142857,76.35933806,27.22883811,72.77116189,,3
"No. 6 Creighton 86, No. 15 Princeton 75",Creighton,Princeton,86,75,-500,375,83.33333333,21.05263158,79.83193277,20.16806723,,3
"No. 5 Miami (FL) 88, No. 2 Texas 81",Miami,Texas,88,81,148,-175,40.32258065,63.63636364,38.78702398,61.21297602,,4
"No. 4 UConn 82, No. 3 Gonzaga 54",UConn,Gonzaga,82,54,-161,135,61.68582375,42.55319149,59.17728943,40.82271057,,4
"No. 9 FAU 79, No. 3 Kansas St. 76",FAU,Kansas State,79,76,115,-120,46.51162791,54.54545455,46.0251046,53.9748954,,4
"No. 5 San Diego St. 57, No. 6 Creighton 56",San Diego State,Creighton,57,56,128,-130,43.85964912,56.52173913,43.69300912,56.30699088,,4
"No. 5 San Diego St. 72, No. 9 FAU 71",San Diego State,FAU,72,71,-145,125,59.18367347,44.44444444,57.11159737,42.88840263,,5
"No. 4 UConn 72, No. 5 Miami (FL) 59",UConn,Miami,72,59,-263,210,72.45179063,32.25806452,69.19290503,30.80709497,,5
"No. 4 UConn 76, No. 5 San Diego St. 59",UConn,San Diego State,76,59,-357,280,78.11816193,26.31578947,74.80149978,25.19850022,,6
https://oddspedia.com/us,,,,,,,,,,,,